"State","partisanVotingIndexRebublican"
"Wyoming",25
"Oklahoma",20
"Utah",20
"Idaho",19
"West Virginia",19
"North Dakota",17
"Arkansas",15
"Kentucky",15
"Alabama",14
"Nebraska",14
"South Dakota",14
"Tennessee",14
"Kansas",13
"Louisiana",11
"Montana",11
"Alaska",9
"Indiana",9
"Mississippi",9
"Missouri",9
"South Carolina",8
"Texas",8
"Arizona",5
"Georgia",5
"Iowa",3
"North Carolina",3
"Ohio",3
"Florida",2
"New Hampshire",0
"Pennsylvania",0
"Wisconsin",0
"Colorado",-1
"Michigan",-1
"Minnesota",-1
"Nevada",-1
"Virginia",-1
"Maine",-3
"New Mexico",-3
"Oregon",-5
"Connecticut",-6
"Delaware",-6
"Illinois",-7
"New Jersey",-7
"Washington",-7
"Rhode Island",-10
"California",-12
"Maryland",-12
"Massachusetts",-12
"New York",-12
"Vermont",-15
"Hawaii",-18
